"2026-06-26T02:00:00Z","🇹🇷 TUR","USA 🇺🇸",-1,-1,0
"2026-06-26T19:00:00Z","🇳🇴 NOR","FRA 🇫🇷",-1,-1,0
"2026-06-26T19:00:00Z","🇸🇳 SEN","IRQ 🇮🇶",-1,-1,0
"2026-06-27T00:00:00Z","🇺🇾 URU","ESP 🇪🇸",-1,-1,0
"2026-06-27T00:00:00Z","🇨🇻 CPV","KSA 🇸🇦",-1,-1,0
"2026-06-27T03:00:00Z","🇪🇬 EGY","IRN 🇮🇷",-1,-1,0
"2026-06-27T03:00:00Z","🇳🇿 NZL","BEL 🇧🇪",-1,-1,0
"2026-06-27T21:00:00Z","🇵🇦 PAN","ENG 🏴󠁧󠁢󠁥󠁮󠁧󠁿",-1,-1,0
"2026-06-27T21:00:00Z","🇭🇷 CRO","GHA 🇬🇭",-1,-1,0
"2026-06-27T23:30:00Z","🇨🇴 COL","POR 🇵🇹",-1,-1,0
"2026-06-27T23:30:00Z","🇨🇩 COD","UZB 🇺🇿",-1,-1,0
"2026-06-28T02:00:00Z","🇯🇴 JOR","ARG 🇦🇷",-1,-1,0
"2026-06-28T02:00:00Z","🇩🇿 ALG","AUT 🇦🇹",-1,-1,0
